Found 182 PUSH_CONST->MAKE_FUNC sequences
  pc=8: name=V[4]='C', entry=15, xor=?, stored=scope
  pc=41: name=V[12]=0, entry=48, xor=147, stored=stack
  pc=104: name=V[12]=0, entry=111, xor=202, stored=stack
  pc=171: name=V[12]=0, entry=178, xor=87, stored=stack
  pc=229: name=V[12]=0, entry=236, xor=156, stored=stack
  pc=299: name=V[12]=0, entry=306, xor=108, stored=stack
  pc=366: name=V[12]=0, entry=373, xor=206, stored=stack
  pc=431: name=V[12]=0, entry=438, xor=124, stored=stack
  pc=500: name=V[12]=0, entry=507, xor=33, stored=stack
  pc=574: name=V[12]=0, entry=581, xor=55, stored=stack
  pc=654: name=V[12]=0, entry=661, xor=22, stored=stack
  pc=722: name=V[12]=0, entry=729, xor=46, stored=stack
  pc=813: name=V[12]=0, entry=820, xor=54, stored=stack
  pc=878: name=V[12]=0, entry=885, xor=110, stored=stack
  pc=949: name=V[12]=0, entry=956, xor=36, stored=stack
  pc=1045: name=V[12]=0, entry=1052, xor=241, stored=stack
  pc=1132: name=V[12]=0, entry=1139, xor=33, stored=stack
  pc=1216: name=V[12]=0, entry=1223, xor=119, stored=stack
  pc=1288: name=V[12]=0, entry=1295, xor=44, stored=stack
  pc=1368: name=V[12]=0, entry=1375, xor=162, stored=stack
  pc=1488: name=V[12]=0, entry=1495, xor=151, stored=stack
  pc=1588: name=V[12]=0, entry=1595, xor=241, stored=stack
  pc=1679: name=V[12]=0, entry=1686, xor=56, stored=stack
  pc=1758: name=V[12]=0, entry=1765, xor=146, stored=stack
  pc=1834: name=V[12]=0, entry=1841, xor=252, stored=stack
  pc=1914: name=V[12]=0, entry=1921, xor=247, stored=stack
  pc=2044: name=V[12]=0, entry=2051, xor=28, stored=stack
  pc=2130: name=V[12]=0, entry=2137, xor=242, stored=stack
  pc=2204: name=V[12]=0, entry=2211, xor=79, stored=stack
  pc=2301: name=V[12]=0, entry=2308, xor=216, stored=stack
